'id'|'parent_id'|'name'|'original'|'level'|'count'
'141513'|'138350'|'Керамзитоблоки, газобетон'|''|'2'|'176'
'141514'|'137975'|'Услуги ведения беременности'|''|'2'|'21'
'141643'|'137744'|'Пункты охраны общественного порядка'|''|'2'|'41'
'141661'|'137975'|'Консультации и услуги нефролога'|'Услуги нефролога'|'2'|'418'
'141718'|'144607'|'Оборудование для аэрографии'|'Товары для аэрографии'|'2'|'72'
'141747'|'138399'|'Услуги промышленной очистки зданий'|'Промышленная очистка сооружений, оборудования'|'2'|'248'
'141794'|'144604'|'Пескоструйное оборудование'|'Абразивоструйное оборудование'|'2'|'148'
'141837'|'137948'|'Мебель для учреждений культуры'|'Мебель для культурно-досуговых учреждений'|'2'|'248'
'141838'|'138263'|'Голографические изделия'|'Голографическая продукция'|'2'|'100'
'141839'|'138399'|'Производство канатных дорог, фуникулеров для перевозки людей'|''|'2'|'3'
'141873'|'138057'|'Нефтедобывающие компании'|''|'2'|'12'
'141876'|'138216'|'Двери противопожарные'|'Противопожарные двери'|'2'|'216'
'141884'|'138350'|'Кирпич, стеновые блоки'|''|'2'|'213'
'141886'|'138350'|'Лесоматериалы'|''|'2'|'153'
'141891'|'138593'|'Бартерные агентства'|''|'2'|'2'
'141896'|'137925'|'Центры снабжения библиотек'|'Библиотечные коллекторы'|'2'|'18'
'141897'|'138189'|'Унты'|''|'2'|'25'
'141999'|'137975'|'Заказ лекарств с доставкой'|'Доставка лекарственных препаратов'|'2'|'168'
'142004'|'144608'|'Продажа билетов на канатную дорогу'|''|'2'|'2'
'142101'|'144610'|'Автозапчасти для автомобилей марки форд, рено, пежо, ситроен'|''|'2'|'184'
'142102'|'144604'|'Грузоподъёмное оборудование, механизмы'|''|'2'|'155'
'142104'|'138554'|'Питомники растений'|''|'2'|'38'
'142195'|'137975'|'Лекарства на заказ'|'Изготовление лекарственных препаратов на заказ'|'2'|'381'
'142196'|'144608'|'Перегон автотранспорта'|''|'2'|'47'
'142309'|'144607'|'Оборудование и товары для фокусов'|'Товары для фокусов'|'2'|'20'
'142378'|'138189'|'Детская одежда, обувь - опт'|''|'2'|'139'
'142389'|'138228'|'Продажа пищевого льда'|''|'2'|'4'
'142520'|'138228'|'Киоски по продаже разливного пива'|''|'2'|'52'
'142524'|'138554'|'Упаковка для пищевой промышленности из жести'|'Жестяная тара для пищевой промышленности'|'2'|'355'
'142568'|'138228'|'Продукты питания мелкой фасовки'|'Мелкофасованные продукты питания'|'2'|'135'
'142640'|'138476'|'Пошив одежды для животных'|'Зооателье'|'2'|'79'
'142691'|'138399'|'Аренда банкетных, конференц-залов'|''|'2'|'22'
'142762'|'137838'|'Пейджинговые услуги'|'Пейджинговые компании'|'2'|'5'
'142769'|'138554'|'Изделия для укупорки емкостей'|'Укупорочные изделия'|'2'|'59'
'142828'|'138350'|'Блоки из полистиролбетона'|'Полистиролбетонные блоки'|'2'|'26'
'142906'|'138593'|'Контроль уровня радиации'|'Радиационный контроль'|'2'|'114'
'142932'|'144604'|'Ремонт грузоподъёмного оборудования, механизмов'|''|'2'|'19'
'142965'|'138263'|'Услуги личных менеджеров для актеров'|'Актёрские агентства'|'2'|'44'
'143062'|'144610'|'Светоотражатели'|'Светоотражающие материалы, изделия'|'2'|'71'
'143064'|'137744'|'Услуги по квотированию рабочих мест'|'Центры квотирования рабочих мест'|'2'|'17'
'143065'|'137794'|'Реквизит и бутафория'|'Сценические декорации, бутафория'|'2'|'112'
'143066'|'137874'|'Услуги инженеров'|'Инженерные службы'|'2'|'247'
'143067'|'137874'|'Услуги дизайна одежды'|''|'2'|'62'
'143068'|'137925'|'Мавзолеи'|'Мавзолей'|'2'|'1'
'143069'|'137975'|'Скорая помощь детям'|'Неотложная медицинская помощь детям'|'2'|'65'
'143070'|'144604'|'Продажа фильтр-прессов'|'Фильтр-прессы'|'2'|'25'
'143071'|'144604'|'Пневматическая техника'|'Пневматическое оборудование'|'2'|'66'
